"ID";"country";"year";"t";"mort_inf";"dpt3";"mvc1";"s_alim3";"aptotal";"pop_urbaine";"ratio_hpibpc"
1;"Argentina";2000;0;19,7;83;77;3,1;16,2;89,142;9,19583069188918
1;"Argentina";2001;1;19;83;86;3,9;16;89,329;9,36535443774441
1;"Argentina";2002;2;18,3;93;94;4,6;15,9;89,51;8,63349368478155
1;"Argentina";2003;3;17,7;96;89;4,1;15,9;89,686;7,83042385170506
1;"Argentina";2004;4;17,1;98;90;3,8;15,7;89,86;7,28483619720911
1;"Argentina";2005;5;16,6;98;89;3,5;15,5;90,031;7,68288969397305
1;"Argentina";2006;6;16,1;91;95;3,4;15;90,2;7,69990992784661
1;"Argentina";2007;7;15,7;91;94;3,4;14,6;90,366;7,89532565299306
1;"Argentina";2008;8;15,4;93;94;3,4;14,2;90,53;8,27512596019617
1;"Argentina";2009;9;15;94;95;3,5;13,8;90,691;9,5523308466504
1;"Argentina";2010;10;14,5;94;95;3,4;13,4;90,849;9,43677408507612
1;"Argentina";2011;11;13,9;91;96;3,3;13,1;90,99;9,36269526674305
1;"Argentina";2012;12;13,3;91;96;3;12,7;91,121;10,4107234283904
1;"Argentina";2013;13;12,7;94;94;2,7;12,5;91,249;10,8178321367234
1;"Argentina";2014;14;12,2;94;97;2,7;12,3;91,377;10,3852529608973
1;"Argentina";2015;15;11,6;94;98;2,9;12,1;91,503;11,0594917494186
1;"Argentina";2016;16;11;92;99;3,3;11,9;91,627;8,98341061479904
1;"Argentina";2017;17;10,3;86;97;3,4;11,9;91,749;10,4427265610438
1;"Argentina";2018;18;9,5;86;95;3,4;11,8;91,87;9,51237675746822
1;"Argentina";2019;19;8,6;83;89;3,3;11,9;91,991;9,61994685597157
1;"Argentina";2020;20;7,7;74;91;3,2;NA;92,111;10,1654529669079
2;"Bolivia";2000;0;75,6;75;74;27,8;33,1;61,787;4,39562213406339
2;"Bolivia";2001;1;71,4;71;79;27;33,2;62,306;4,82555137877083
2;"Bolivia";2002;2;67,3;77;89;27,9;33,3;62,783;4,89642757527842
2;"Bolivia";2003;3;63,5;88;83;27,9;33,3;63,248;5,19750346828723
2;"Bolivia";2004;4;59,8;84;94;27,1;33;63,711;4,86264205916984
2;"Bolivia";2005;5;56,3;85;95;24,8;32,6;64,17;5,07409869398286
2;"Bolivia";2006;6;53,1;83;89;24,2;32,3;64,628;4,66055918181006
2;"Bolivia";2007;7;50;84;87;24,9;31,7;65,082;4,697112046119
2;"Bolivia";2008;8;47,1;88;92;23,5;31,2;65,535;4,60658716557545
2;"Bolivia";2009;9;44,4;93;96;21,3;30,6;65,984;5,17463363630772
2;"Bolivia";2010;10;41,9;91;88;18,6;30;66,43;5,2022592753445
2;"Bolivia";2011;11;39,5;95;93;18;29,4;66,874;5,17143427124597
2;"Bolivia";2012;12;37,3;93;92;17,9;28,6;67,315;5,25275101430333
2;"Bolivia";2013;13;35,2;87;86;17,1;27,9;67,699;5,57502832097512
2;"Bolivia";2014;14;33,3;85;88;16;27,5;68,047;5,89585403736976
2;"Bolivia";2015;15;31,6;89;89;14,9;26,7;68,393;6,54983206535426
2;"Bolivia";2016;16;30,2;87;90;14,2;25,7;68,738;6,83258055384107
2;"Bolivia";2017;17;28,9;84;96;13,8;25,1;69,08;6,49083740479933
2;"Bolivia";2018;18;27,7;83;91;13,7;24,6;69,425;6,60327113310475
2;"Bolivia";2019;19;26,6;75;88;16,2;24,4;69,773;6,8886453317928
2;"Bolivia";2020;20;25,6;68;84;19,4;NA;70,123;7,8564589942518
3;"Brazil";2000;0;34,7;98;79;10,7;26,9;81,192;8,33420221648656
